City,Country,Date,Lat,Lng,Wind Speed,Cloudiness,Max Temp,Humidity
Ojinaga,MX,1584411943,29.57,-104.42,5.1,1,302.15,30
Harper,LR,1584411905,4.38,-7.72,1.53,99,297.99,93
Andenes,NO,1584411943,69.31,16.12,7.7,100,273.15,77
Whitley Bay,GB,1584411943,55.04,-1.45,4.6,40,282.59,87
Chililabombwe,ZM,1584411943,-12.36,27.82,1.7,100,289.19,97
Yelizovo,RU,1584411943,53.19,158.38,4.0,86,271.15,39
Sovetskiy,RU,1584411944,61.36,63.58,4.32,88,266.71,95
Maiduguri,NG,1584411944,11.85,13.16,3.31,66,292.62,17
Salym,RU,1584411944,60.06,71.48,3.38,33,263.88,91
São José da Coroa Grande,BR,1584411841,-8.9,-35.15,4.86,100,301.4,76
Broome,US,1584411775,42.25,-75.83,6.2,90,278.15,59
Pevek,RU,1584411823,69.7,170.31,10.35,94,270.62,78
Aland,IN,1584411945,17.57,76.57,5.71,0,300.71,51
Yaan,NG,1584411945,7.38,8.57,3.64,100,300.18,76
Dryden,CA,1584411682,49.78,-92.75,7.2,1,267.15,53
Kidal,ML,1584411857,18.44,1.41,4.1,22,298.48,12
San Quintín,MX,1584411863,30.48,-115.95,2.43,7,287.14,69
Rome,US,1584411646,43.21,-75.46,4.1,90,281.15,38
Homer,US,1584411946,59.64,-151.55,1.5,1,275.15,59
Vargashi,RU,1584411946,55.36,65.85,5.98,70,269.76,82
Lata,PT,1584411885,40.16,-8.33,2.68,48,283.71,70
Manakara,MG,1584411946,-22.13,48.02,0.86,0,295.0,96
Kundiawa,PG,1584411947,-6.02,144.97,1.24,100,290.21,85
Matara,LK,1584411947,5.95,80.54,3.15,100,300.15,75
Sherpur,BD,1584411947,25.02,90.02,1.96,3,300.39,30
Marsh Harbour,BS,1584411906,26.54,-77.06,5.44,91,295.74,82
Camacha,PT,1584411948,33.08,-16.33,5.7,40,288.15,58
Husavik,IS,1584411875,66.04,-17.34,314.3,90,274.15,90
Porto Seguro,BR,1584411948,-16.45,-39.06,1.0,40,298.15,83
Libreville,GA,1584411948,0.39,9.45,1.5,75,300.15,94
Benin,BJ,1584411948,9.5,2.25,1.24,100,299.45,55
Zwedru,LR,1584411949,6.07,-8.13,0.91,23,295.83,99
Kashary,RU,1584411949,49.04,41.01,1.12,0,272.15,70
Yumen,CN,1584411885,40.28,97.2,9.66,0,282.18,12
Skibbereen,IE,1584411889,51.55,-9.27,4.1,40,282.15,93
Aktash,RU,1584411949,50.3,87.73,1.63,100,271.43,68
Santa Cruz de la Sierra,BO,1584411949,-17.8,-63.17,1.0,75,296.15,94
Baruun-Urt,MN,1584411736,46.68,113.28,5.94,0,273.17,77
Gejiu,CN,1584411950,23.31,103.16,4.1,5,294.07,49
Mabaruma,GY,1584411950,8.2,-59.78,0.79,99,294.88,95
Sabzawār,IR,1584411950,36.21,57.68,1.14,33,286.33,57
Panabá,MX,1584411950,21.28,-88.27,5.04,0,297.71,75
Qax,AZ,1584411950,41.42,46.92,6.2,90,278.15,93
Norman Wells,CA,1584411843,65.28,-126.83,1.0,90,261.15,85
Lafia,NG,1584411951,8.48,8.52,0.4,100,298.88,35
Clarksburg,US,1584411951,39.28,-80.34,2.1,90,284.26,66
Puerto Lleras,CO,1584411951,3.02,-73.4,0.46,97,299.54,69
Paso de Patria,AR,1584411952,-27.25,-58.55,3.6,0,299.15,78
Chengde,CN,1584411952,40.97,117.94,5.81,0,282.81,21
Bara,NG,1584411952,10.37,10.73,2.58,48,291.77,12
Tambovka,RU,1584411952,50.1,128.05,1.0,40,271.15,54
Ranong,TH,1584411952,9.97,98.63,3.1,40,303.15,70
Awjilah,LY,1584411953,29.11,21.29,7.03,0,289.52,54
Whitehorse,CA,1584411723,60.72,-135.05,3.1,40,275.15,31
Rio Grande,BR,1584411803,-32.03,-52.1,4.46,0,293.15,83
Ankang,CN,1584411953,32.68,109.02,0.45,100,285.37,29
Gunnedah,AU,1584411953,-30.98,150.25,4.6,40,296.15,49
Ikeda,JP,1584411953,34.82,135.43,3.1,75,285.93,53
Sverdlovskiy,RU,1584411954,55.91,38.15,1.0,100,275.93,59
Saint-Louis,SN,1584411954,16.33,-15.0,5.01,92,294.87,24
Coquimbo,CL,1584411895,-29.95,-71.34,1.0,90,289.15,82
Aitape,PG,1584411954,-3.14,142.35,1.09,98,299.75,79
Pasco,US,1584411729,28.29,-82.42,3.1,1,298.15,78
Bangkalan,ID,1584411955,-7.05,112.74,2.77,18,303.15,72
Campbellsville,US,1584411955,37.34,-85.34,1.16,90,282.59,100
Hokitika,NZ,1584411955,-42.72,170.97,0.7,0,291.26,53
Baghmara,IN,1584411955,23.8,86.21,1.64,0,296.96,37
Mandalī,IQ,1584411955,33.75,45.55,2.08,58,290.88,59
Narón,ES,1584411956,43.52,-8.15,2.1,43,284.26,76
Rørvik,NO,1584411956,64.86,11.24,13.68,100,276.01,75
Ambilobe,MG,1584411956,-13.2,49.05,1.52,56,296.87,94
Kungur,RU,1584411956,57.44,56.96,3.59,31,263.48,91
Gainesville,US,1584411956,29.65,-82.32,3.6,94,296.48,100
Omboué,GA,1584411956,-1.57,9.26,1.51,100,296.98,96
Baykit,RU,1584411893,61.67,96.37,5.58,100,264.92,77
Mahanoro,MG,1584411957,-19.9,48.8,3.49,0,298.33,83
Kourou,GF,1584411957,5.16,-52.65,1.5,20,299.15,83
Ponta Delgada,PT,1584411888,37.73,-25.67,0.5,20,286.15,87
Bāfq,IR,1584411957,31.61,55.41,4.18,0,288.46,39
Pithoro,PK,1584411958,25.52,69.38,2.97,19,297.13,21
Boyabat,TR,1584411958,41.47,34.77,1.17,34,268.38,88
Tazovsky,RU,1584411753,67.47,78.7,7.09,99,258.74,91
Leh,IN,1584411823,34.17,77.58,0.49,67,262.73,32
Atasū,KZ,1584411959,48.68,71.64,3.14,96,277.31,71
Vila,PT,1584411959,42.03,-8.16,4.1,27,283.15,70
Mbandaka,CD,1584411959,0.05,18.26,0.68,100,294.79,95
La Ronge,CA,1584411815,55.1,-105.28,6.2,40,264.15,52
Inhambane,MZ,1584411960,-23.86,35.38,9.1,25,298.21,82
Vao,NC,1584411960,-22.67,167.48,6.63,52,299.04,73
San Patricio,MX,1584411865,19.22,-104.7,2.6,5,299.15,83
Gondanglegi,ID,1584411813,-7.75,112.01,0.29,14,303.38,66
Coyhaique,CL,1584411771,-45.58,-72.07,1.0,20,285.15,81
Beauceville,CA,1584411961,46.22,-70.78,3.67,90,270.37,69
Greymouth,NZ,1584411961,-42.47,171.2,0.7,0,291.26,53
Lompoc,US,1584411961,34.64,-120.46,1.34,1,283.15,87
Staroaleyskoye,RU,1584411962,51.01,82.0,1.74,88,274.65,81
Gwadar,PK,1584411962,25.12,62.33,2.08,0,296.06,59
Esim,GH,1584411962,4.87,-2.24,1.75,100,298.77,92
Morondava,MG,1584411887,-20.28,44.28,0.65,0,294.89,96
Lufkin,US,1584411962,31.34,-94.73,2.14,1,292.15,82
San Jose,US,1584411742,37.34,-121.89,4.6,75,284.26,66
Tautira,PF,1584411913,-17.73,-149.15,3.1,40,305.15,62
Kavieng,PG,1584411853,-2.57,150.8,4.5,32,302.24,72
Măureni,RO,1584411963,45.4,21.5,9.8,42,281.15,33
Tomas Oppus,PH,1584411963,10.25,124.98,5.65,100,300.32,77
Flinders,AU,1584411831,-34.58,150.86,4.1,40,296.15,43
Porto Murtinho,BR,1584411964,-21.7,-57.88,1.92,3,297.85,84
Santa Cruz,MA,1584411952,30.42,-9.6,1.23,0,285.15,81
Dunedin,NZ,1584411768,-45.87,170.5,3.58,51,285.37,59
Katobu,ID,1584411937,-4.94,122.53,1.97,68,301.37,82
Zhangjiakou,CN,1584411964,40.81,114.88,6.93,0,279.83,31
Măieruş,RO,1584411965,45.9,25.53,0.32,13,273.15,62
Dakar,SN,1584411750,14.69,-17.44,8.2,13,294.15,88
Rio Verde de Mato Grosso,BR,1584411965,-18.92,-54.84,2.74,0,296.96,76
Omsukchan,RU,1584411793,62.53,155.8,2.94,100,259.46,93
Marsá Maţrūḩ,EG,1584411797,31.35,27.25,5.1,40,286.15,76
Pringsewu,ID,1584411966,-5.36,104.97,2.11,100,301.15,70
Alamogordo,US,1584411966,32.9,-105.96,3.1,1,292.04,30
Caxito,AO,1584411967,-8.58,13.66,2.1,40,300.15,78
Yugo-Kamskiy,RU,1584411967,57.71,55.59,5.0,0,267.15,73
Tulgheş,RO,1584411967,46.95,25.77,2.18,83,272.59,54
Sioux Lookout,CA,1584411588,50.1,-91.92,3.1,20,268.15,49
Vila Franca do Campo,PT,1584411918,37.72,-25.43,0.5,20,286.15,87
Zhicheng,CN,1584411968,30.3,111.5,2.29,86,292.04,56
St. George's,GD,1584411965,12.06,-61.75,5.18,20,297.15,88
Riobamba,EC,1584411734,-1.67,-78.63,1.34,100,283.46,96
Rincon,US,1584411734,32.3,-81.24,3.1,90,290.15,87
Hirara,JP,1584411968,24.8,125.28,3.1,20,295.15,53
Hofn,IS,1584411893,64.25,-15.21,16.73,100,276.92,84
Gemeente Wageningen,NL,1584411969,51.97,5.67,2.1,20,279.26,100
São Borja,BR,1584411969,-28.66,-56.0,5.18,0,297.33,66
Lamar,US,1584411969,33.67,-95.58,3.6,90,287.59,100
Erzin,TR,1584411970,36.96,36.2,2.1,75,285.15,100
Erenhot,CN,1584411843,43.65,111.98,5.93,0,280.08,32
Jilotepec,MX,1584411970,19.6,-96.93,1.33,76,285.71,94
Goderich,CA,1584411866,43.75,-81.72,0.45,100,277.04,93
Dustlik,UZ,1584411970,40.52,68.04,4.26,100,290.74,46
Mutoko,ZW,1584411970,-17.4,32.23,1.74,93,289.79,94
Marabu,MY,1584411971,4.41,114.01,2.6,75,302.15,83
Iwanai,JP,1584411971,42.97,140.51,6.16,100,275.44,78
Batagay,RU,1584411971,67.63,134.63,1.34,95,257.11,88
Athens,GR,1584411971,37.98,23.72,5.1,20,282.59,57
Charters Towers,AU,1584411817,-20.1,146.27,4.74,20,302.75,40
Bukachacha,RU,1584411972,52.98,116.92,2.59,100,267.21,91
Ayr,GB,1584411972,55.46,-4.63,8.2,20,281.48,81
Kirensk,RU,1584411972,57.79,108.11,6.32,100,273.08,85
Richards Bay,ZA,1584411891,-28.78,32.04,5.42,100,295.14,65
Verkhnyaya Inta,RU,1584411972,65.98,60.31,6.97,98,267.33,80
